dt,COCOI,COCMWT,CBWMWT
1/1/82,8.84,8.84,6.89
1/2/82,8.73,8.73,7.12
1/3/82,7.93,7.93,7.35
1/4/82,7.63,7.63,7.59
1/5/82,7.44,7.44,7.38
1/6/82,8.06,8.06,5.85
1/7/82,7.75,7.75,7.18
1/8/82,7.3,7.3,6.56
1/9/82,7.63,7.63,4.31
1/10/82,7.16,7.16,2.06
1/11/82,6.67,6.67,-0.19
1/12/82,6.5,6.5,-0.39
1/13/82,5.85,5.85,-0.6
1/14/82,6.09,6.09,-0.49
1/15/82,6.2,6.2,-0.49
1/16/82,6.11,6.11,-0.26
1/17/82,5.85,5.85,-0.02
1/18/82,5.49,5.49,0.22
1/19/82,5.11,5.11,-0.19
1/20/82,4.82,4.82,-0.49
1/21/82,3.89,3.89,0.02
1/22/82,3.86,3.86,-0.09
1/23/82,4.09,4.09,0.32
1/24/82,4.59,4.59,0.73
1/25/82,5.27,5.27,1.14
1/26/82,5.19,5.19,1.35
1/27/82,5.23,5.23,-0.6
1/28/82,5.36,5.36,-0.6
1/29/82,5.41,5.41,0.53
1/30/82,4.85,4.85,3.05
1/31/82,4.85,4.85,5.57
2/1/82,4.92,4.92,8.1
2/2/82,4.7,4.7,6.15
2/3/82,5.03,5.03,6.36
2/4/82,5.66,5.66,8.61
2/5/82,6.16,6.16,7.59
2/6/82,6.12,6.12,6.53
2/7/82,6.01,6.01,5.47
2/8/82,5.65,5.65,4.42
2/9/82,6.03,6.03,5.44
2/10/82,6.13,6.13,5.03
2/11/82,5.86,5.86,4.11
2/12/82,5.9,5.9,3.9
2/13/82,6.02,6.02,4.04
2/14/82,5.96,5.96,4.18
2/15/82,5.47,5.47,4.31
2/16/82,5.2,5.2,8.1
2/17/82,5.27,5.27,8.4
2/18/82,5.79,5.79,4.82
2/19/82,5.73,5.73,4.93
2/20/82,5.69,5.69,5.2
2/21/82,5.78,5.78,5.47
2/22/82,5.94,5.94,5.74
2/23/82,5.68,5.68,5.03
2/24/82,4.72,4.72,6.36
2/25/82,4.68,4.68,5.95
2/26/82,5.14,5.14,3.9
2/27/82,5.6,5.6,4.11
2/28/82,5.22,5.22,4.31
3/1/82,5.4,5.4,4.52
3/2/82,5.44,5.44,6.26
3/3/82,5.18,5.18,7.59
